BehaviorType,InfluencerType,SURVEY,MEAN_MP,MEAN_MP_Cogn,MEAN_MP_Emotion,MEAN_MP_Intention,MEAN_PrimaryEmtions,MEAN_PrimaryEmotion_P,MEAN_PrimaryEmotion_N,MEAN_Likability,MEAN_M.Desire,MEAN_F.Engagement,M.P01,M.P02,M.P03,M.P04,M.P05,M.P06,M.P07,M.P08,M.P09,M.P10,P.Emotion01,P.Emotion02,P.Emotion03,P.Emotion04,Attention Check,Likability01,Likability02,Likability03,M.Desire01,M.Desire02,M.Desire03,M.Desire04,F.Enagement01,F.Enagement02,Gender,Age,Location
self-serving,human influencer,1,3.6,3.67,3.5,3.67,3.25,3.5,3,4.00,3.33,4.00,4,3,4,4,3,3,4,3,4,4,3,4,4,2,Is a luxurious influencer,4,4,4,4,4,3,3,4,4,Male,15 - 30 years old,Europe
self-serving,human influencer,1,3.50,2.33,4,4.00,3,3.5,3.5,3.33,2.00,2.00,3,2,2,4,4,4,4,4,4,4,3,2,4,3,Is a luxurious influencer,3,3,4,2,2,2,2,2,2,Prefer not to say,15 - 30 years old,Europe
self-serving,human influencer,1,3.70,4.00,3.5,3.67,1.5,2,1.5,3.67,1.33,1.00,4,4,4,3,1,5,5,5,3,3,1,2,2,1,Is a luxurious influencer,4,3,4,2,1,1,1,1,1,Male,15 - 30 years old,North America/Central America
self-serving,human influencer,1,1.90,2.00,1,3.00,1.5,2,1.5,3.33,1.00,1.00,2,3,1,1,1,1,1,4,3,2,2,1,1,2,Is a luxurious influencer,4,3,3,1,1,1,1,1,1,Female,15 - 30 years old,Europe
self-serving,human influencer,1,4.10,3.67,4,4.67,1.75,3,1,4.00,4.00,4.00,4,3,4,4,4,4,4,5,5,4,2,3,1,1,Is a luxurious influencer,4,4,4,4,4,4,5,4,4,Male,15 - 30 years old,Europe
self-serving,human influencer,1,4.20,3.00,4.5,5.00,2.5,4.5,1,4.00,3.33,1.00,3,3,3,3,5,5,5,5,5,5,4,4,1,1,Is a luxurious influencer,4,4,4,4,4,2,3,1,1,Female,15 - 30 years old,South America
self-serving,human influencer,1,4.70,4.00,5,5.00,1.25,3,1,4.00,1.00,1.00,5,3,4,5,5,5,5,5,5,5,1,2,1,1,Is a luxurious influencer,4,4,4,1,1,1,1,1,1,Female,15 - 30 years old,Europe
self-serving,human influencer,1,3.50,3.33,3,4.33,2.25,3.5,2.5,2.33,2.00,2.00,2,5,3,2,2,4,4,4,4,5,2,2,3,2,Is a luxurious influencer,3,2,2,2,2,2,2,2,2,Female,30 - 45 years old,Europe
self-serving,human influencer,1,2.70,2.00,2.75,3.33,1.5,1.5,2,1.67,1.33,1.00,2,3,1,1,3,3,4,4,4,2,1,1,3,1,Is a luxurious influencer,3,1,1,2,1,1,2,1,1,Male,15 - 30 years old,North America/Central America
self-serving,human influencer,1,3.40,3.67,3,3.67,2,3,1.5,3.67,2.00,2.50,4,4,3,2,2,4,4,4,3,4,2,3,2,1,Is a luxurious influencer,4,3,4,2,2,2,3,2,3,Male,30 - 45 years old,North America/Central America
